Month,Longitudes,Latitudes,Elevation,ExtSR,MonthlyAvgI_HP,MonthlyAvgI_IncP,OptSlopeAngle,MontlyAvgI_B,Ratio_D_G
July,93.165,30.088,4049,1.367,141.06,133.31,27,66.05,0.65
August,93.165,30.088,4049,1.367,161.41,160.65,27,107.01,0.48
September,93.165,30.088,4049,1.367,103.93,107.5,27,53.17,0.62
October,93.165,30.088,4049,1.367,87.5,94.96,27,44.25,0.65
November,93.165,30.088,4049,1.367,95.91,122.92,27,89.22,0.45
December,93.165,30.088,4049,1.367,94.59,134.42,27,124.08,0.28
January,94.076,30.174,5760,1.367,80.54,103.16,29,68.94,0.57
February,94.076,30.174,5760,1.367,131.1,173.59,29,174.86,0.27
March,94.076,30.174,5760,1.367,112.73,121.77,29,71.52,0.6
April,94.076,30.174,5760,1.367,132.17,132.06,29,73.5,0.61
May,94.076,30.174,5760,1.367,154.2,146.1,29,96.48,0.52
June,94.076,30.174,5760,1.367,137.16,127.84,29,63.61,0.62
July,94.076,30.174,5760,1.367,155.33,145.43,29,86.31,0.57
August,94.076,30.174,5760,1.367,166.43,162.77,29,117.87,0.48
September,94.076,30.174,5760,1.367,104.86,108.32,29,62.47,0.62
October,94.076,30.174,5760,1.367,76.69,82.78,29,43.25,0.68
November,94.076,30.174,5760,1.367,120.88,170.64,29,166.29,0.32
December,94.076,30.174,5760,1.367,105.49,157.39,29,150.97,0.33
January,95.158,30.272,5987,1.367,88.23,120.87,30,98.8,0.48
February,95.158,30.272,5987,1.367,106.79,135.12,30,113.83,0.45
March,95.158,30.272,5987,1.367,127.69,139.8,30,89.7,0.56
April,95.158,30.272,5987,1.367,132.11,131.63,30,81.05,0.6
May,95.158,30.272,5987,1.367,163.02,152.83,30,99.46,0.57
June,95.158,30.272,5987,1.367,136.54,125.43,30,69.34,0.63
July,95.158,30.272,5987,1.367,142.31,131.72,30,64.79,0.69
August,95.158,30.272,5987,1.367,190.38,185.31,30,170.19,0.4
September,95.158,30.272,5987,1.367,105.88,109.22,30,61.75,0.63
October,95.158,30.272,5987,1.367,109.78,128.82,30,94.22,0.49
November,95.158,30.272,5987,1.367,119.17,173.08,30,183.67,0.26
December,95.158,30.272,5987,1.367,109.5,171.04,30,182.39,0.25
January,96.098,30.088,4874,1.367,93.5,123.46,29,89.7,0.5
February,96.098,30.088,4874,1.367,108.14,136.21,29,110.68,0.41
March,96.098,30.088,4874,1.367,137.18,151.47,29,99.64,0.52
April,96.098,30.088,4874,1.367,133.66,134.69,29,74.66,0.59
May,96.098,30.088,4874,1.367,169.97,159.47,29,115.29,0.53
June,96.098,30.088,4874,1.367,133.41,123.59,29,61.25,0.66
July,96.098,30.088,4874,1.367,151,141.14,29,75.95,0.63
August,96.098,30.088,4874,1.367,185.22,181.82,29,145.38,0.44
September,96.098,30.088,4874,1.367,113.35,117.6,29,63.9,0.62
October,96.098,30.088,4874,1.367,106.39,123.13,29,86.3,0.5
November,96.098,30.088,4874,1.367,109.03,149.02,29,134.81,0.32
December,96.098,30.088,4874,1.367,105.99,160.41,29,163.99,0.27
January,97.052,30.026,3259,1.367,95.42,128.83,30,102.06,0.43
February,97.052,30.026,3259,1.367,110.57,141.53,30,121.91,0.36
March,97.052,30.026,3259,1.367,139.66,155.32,30,111.04,0.47
April,97.052,30.026,3259,1.367,129.74,130.47,30,72.91,0.58
May,97.052,30.026,3259,1.367,179.82,170.34,30,124.03,0.45
June,97.052,30.026,3259,1.367,143.56,133.16,30,67.43,0.62
July,97.052,30.026,3259,1.367,154.75,145.67,30,77.81,0.59
August,97.052,30.026,3259,1.367,200.73,199.18,30,165.28,0.35
September,97.052,30.026,3259,1.367,128.13,135.38,30,86.36,0.52
October,97.052,30.026,3259,1.367,128.21,155.31,30,129.4,0.38
November,97.052,30.026,3259,1.367,121.48,172.12,30,171.09,0.23
December,97.052,30.026,3259,1.367,106.51,161.32,30,163.31,0.23
January,77.977,27.192,170,1.367,114.63,157.5,30,132.13,0.42
February,77.977,27.192,170,1.367,149.14,192.53,30,180.72,0.3
March,77.977,27.192,170,1.367,188.64,213.33,30,190.98,0.33
April,77.977,27.192,170,1.367,209.01,209.75,30,187.47,0.35
May,77.977,27.192,170,1.367,218.99,203.59,30,163.2,0.42
June,77.977,27.192,170,1.367,192.23,174,30,121.74,0.49
July,77.977,27.192,170,1.367,137.54,127.39,30,59.35,0.66
August,77.977,27.192,170,1.367,152.46,147.1,30,87.74,0.57
September,77.977,27.192,170,1.367,175.13,187.1,30,154.21,0.4
October,77.977,27.192,170,1.367,164.54,201.01,30,174.28,0.34
November,77.977,27.192,170,1.367,135.6,187.27,30,167.97,0.34
December,77.977,27.192,170,1.367,113.36,162.04,30,138.59,0.4
January,76.569,28.901,220,1.367,100.86,137.53,30,108.98,0.47
February,76.569,28.901,220,1.367,139.06,180.26,30,161.96,0.33
March,76.569,28.901,220,1.367,176.31,200.62,30,174.12,0.35
April,76.569,28.901,220,1.367,205,207.54,30,184.24,0.36
May,76.569,28.901,220,1.367,211.09,198.05,30,155.96,0.43
June,76.569,28.901,220,1.367,201.14,183.93,30,128.94,0.49
July,76.569,28.901,220,1.367,172.53,160.54,30,98.22,0.55
August,76.569,28.901,220,1.367,163.03,158.89,30,99.22,0.54
September,76.569,28.901,220,1.367,185.07,201.84,30,173.89,0.36
October,76.569,28.901,220,1.367,157.49,193.97,30,163.55,0.37
November,76.569,28.901,220,1.367,124.21,172.01,30,147.33,0.38
December,76.569,28.901,220,1.367,107.01,155.19,30,132.21,0.41
January,77.226,28.656,225,1.367,102.66,140.2,29,112.85,0.46
February,77.226,28.656,225,1.367,139.02,179.27,29,160.5,0.34
March,77.226,28.656,225,1.367,176.89,200.87,29,173.17,0.35
April,77.226,28.656,225,1.367,205.88,208.42,29,184.18,0.36
May,77.226,28.656,225,1.367,211.25,198,29,158.27,0.43
June,77.226,28.656,225,1.367,197.34,180.65,29,124.01,0.5
July,77.226,28.656,225,1.367,164.83,153.45,29,89.25,0.57
August,77.226,28.656,225,1.367,159.78,155.92,29,94.13,0.55
September,77.226,28.656,225,1.367,184.47,200.82,29,172.44,0.36
October,77.226,28.656,225,1.367,158.54,195.39,29,167.99,0.36
November,77.226,28.656,225,1.367,124.92,172.26,29,148.15,0.38
December,77.226,28.656,225,1.367,106.71,153.61,29,130.33,0.41
January,78.13,30.574,2136,1.367,97.81,137.77,31,118.25,0.33
February,78.13,30.574,2136,1.367,113.07,145.99,31,128.07,0.32
March,78.13,30.574,2136,1.367,128.23,142.47,31,102.78,0.45
April,78.13,30.574,2136,1.367,161.59,163.02,31,130.97,0.41
May,78.13,30.574,2136,1.367,189.13,177.85,31,146.59,0.39
June,78.13,30.574,2136,1.367,193.24,177.5,31,131.16,0.45
July,78.13,30.574,2136,1.367,142.83,133.39,31,63.33,0.64
August,78.13,30.574,2136,1.367,116.01,112.39,31,49.44,0.68
September,78.13,30.574,2136,1.367,132.8,142.26,31,93.24,0.5
October,78.13,30.574,2136,1.367,147.63,186.98,31,173.55,0.26
November,78.13,30.574,2136,1.367,114.17,161.9,31,150.6,0.25
December,78.13,30.574,2136,1.367,99.35,150.35,31,142.92,0.26
January,77.174,31.093,2026,1.367,98.13,140.06,31,117.19,0.41
February,77.174,31.093,2026,1.367,127.05,168.56,31,149.69,0.32
March,77.174,31.093,2026,1.367,156.56,179.81,31,146.47,0.37
April,77.174,31.093,2026,1.367,194.1,197.72,31,168.09,0.37
May,77.174,31.093,2026,1.367,220.02,206.53,31,187.87,0.34
June,77.174,31.093,2026,1.367,195.04,177.29,31,141.56,0.43
July,77.174,31.093,2026,1.367,160.95,148.68,31,90.51,0.58
August,77.174,31.093,2026,1.367,140.53,137.66,31,84.41,0.56
September,77.174,31.093,2026,1.367,163.49,177.52,31,135.88,0.43
October,77.174,31.093,2026,1.367,153.34,194.93,31,172.53,0.32
November,77.174,31.093,2026,1.367,111.64,157.16,31,133.4,0.36
December,77.174,31.093,2026,1.367,100.97,154.72,31,138.82,0.34
January,88.412,26.684,113,1.367,77.92,98.49,28,67.76,0.57
February,88.412,26.684,113,1.367,106.95,126.23,28,87.56,0.52
March,88.412,26.684,113,1.367,142.8,154.83,28,108.75,0.49
April,88.412,26.684,113,1.367,172.42,171.49,28,126.57,0.45
May,88.412,26.684,113,1.367,134.41,126.27,28,62.28,0.65
June,88.412,26.684,113,1.367,114.19,105.37,28,43,0.73
July,88.412,26.684,113,1.367,114.16,105.4,28,42.43,0.77
August,88.412,26.684,113,1.367,124.45,118.73,28,62.36,0.67
September,88.412,26.684,113,1.367,87.23,88.15,28,38.22,0.72
October,88.412,26.684,113,1.367,124.92,148.92,28,121.42,0.42
November,88.412,26.684,113,1.367,119.39,157.12,28,133.65,0.39
December,88.412,26.684,113,1.367,109.51,155.13,28,138.93,0.38
January,88.61,27.291,911,1.367,72.85,92.63,28,64.32,0.53
February,88.61,27.291,911,1.367,114.28,138.51,28,103.13,0.44
March,88.61,27.291,911,1.367,124.88,134.67,28,85.79,0.52
April,88.61,27.291,911,1.367,162,161.25,28,118.93,0.45
May,88.61,27.291,911,1.367,118.2,111.72,28,42.09,0.73
June,88.61,27.291,911,1.367,118.09,109.78,28,40.24,0.73
July,88.61,27.291,911,1.367,131.41,123.12,28,51.59,0.68
August,88.61,27.291,911,1.367,119.88,115.38,28,56.44,0.68
September,88.61,27.291,911,1.367,91.75,92.86,28,40.68,0.7
October,88.61,27.291,911,1.367,100.39,113.8,28,70.01,0.58
November,88.61,27.291,911,1.367,119.73,157.64,28,131.25,0.37
December,88.61,27.291,911,1.367,111.73,158.64,28,142.68,0.34
January,89.656,27.49,2734,1.367,82.44,105.35,28,75.18,0.49
February,89.656,27.49,2734,1.367,100.25,118.37,28,80.73,0.48
March,89.656,27.49,2734,1.367,129.44,141.19,28,91.69,0.48
April,89.656,27.49,2734,1.367,153.1,153.56,28,102.63,0.46
May,89.656,27.49,2734,1.367,127.74,120.66,28,67.6,0.59
June,89.656,27.49,2734,1.367,134.61,124.78,28,64.36,0.62
July,89.656,27.49,2734,1.367,134.15,125.39,28,57.24,0.67
August,89.656,27.49,2734,1.367,137.49,133.87,28,73.38,0.59
September,89.656,27.49,2734,1.367,99.73,101.87,28,42.48,0.69
October,89.656,27.49,2734,1.367,126.85,150.34,28,117.81,0.4
November,89.656,27.49,2734,1.367,128.32,172.5,28,157.02,0.29
December,89.656,27.49,2734,1.367,104.62,147.35,28,133.96,0.33
January,68,33,2067,1.367,38.28,51.86,27,45.25,0.42
February,68,33,2067,1.367,24.17,27.35,27,16.27,0.71
March,68,33,2067,1.367,78.51,83.74,27,50.16,0.59
April,68,33,2067,1.367,167.2,170.45,27,123.98,0.48
May,68,33,2067,1.367,206.86,198.84,27,185.61,0.35
June,68,33,2067,1.367,228.1,209.5,27,231.87,0.29
July,68,33,2067,1.367,224.71,228.84,27,251.62,0.27
August,68,33,2067,1.367,226.85,229.63,27,239.5,0.27
September,68,33,2067,1.367,197.98,224.58,27,238.83,0.24
October,68,33,2067,1.367,170.02,223.63,27,245.36,0.2
November,68,33,2067,1.367,94.31,128.2,27,116.12,0.42
December,68,33,2067,1.367,100.57,157.89,27,167.73,0.32
January,68,34,3034,1.367,60.55,87.42,28,83.16,0.3
February,68,34,3034,1.367,33.14,39.06,28,25.23,0.62
March,68,34,3034,1.367,84.08,89.21,28,51.73,0.62
April,68,34,3034,1.367,188.75,197.52,28,182.96,0.34
May,68,34,3034,1.367,210.43,203.64,28,190.01,0.34
June,68,34,3034,1.367,238.95,219.52,28,245.66,0.27
July,68,34,3034,1.367,255.89,239.98,28,269.83,0.25
August,68,34,3034,1.367,235.04,239.29,28,257.07,0.24
September,68,34,3034,1.367,199.41,229.23,28,241.76,0.23
October,68,34,3034,1.367,168.2,225.16,28,245.64,0.21
November,68,34,3034,1.367,96.57,136.53,28,127.63,0.37
December,68,34,3034,1.367,91.66,139.77,28,128.71,0.41
January,68,35,2307,1.367,58.89,85.34,30,71.71,0.46
February,68,35,2307,1.367,58.73,65.9,30,31.95,0.7
March,68,35,2307,1.367,95.32,105.77,30,55.96,0.64
April,68,35,2307,1.367,138.43,139.57,30,88.13,0.56
May,68,35,2307,1.367,173.22,166.73,30,115.5,0.5
June,68,35,2307,1.367,209.54,193.16,30,175.61,0.38
July,68,35,2307,1.367,257.05,240.64,30,267.05,0.24
August,68,35,2307,1.367,228.43,233.84,30,237.26,0.26
September,68,35,2307,1.367,192.88,223.51,30,222.88,0.24
October,68,35,2307,1.367,158.11,212.74,30,210.65,0.23
November,68,35,2307,1.367,98.26,141.89,30,122.03,0.37
December,68,35,2307,1.367,95.76,158.16,30,158.17,0.28
January,68,36,1965,1.367,52.63,65.13,29,35.1,0.71
February,68,36,1965,1.367,58.92,68.75,29,36.47,0.67
March,68,36,1965,1.367,129.98,151.47,29,112.3,0.45
April,68,36,1965,1.367,171.77,181.53,29,146.1,0.4
May,68,36,1965,1.367,205.03,201.31,29,168.11,0.39
June,68,36,1965,1.367,231.83,218.41,29,213.07,0.31
July,68,36,1965,1.367,246.97,236.71,29,239.62,0.28
August,68,36,1965,1.367,221.7,230.08,29,221.01,0.28
September,68,36,1965,1.367,185.94,216.49,29,206.85,0.28
October,68,36,1965,1.367,139.62,184.64,29,168.19,0.32
November,68,36,1965,1.367,85.84,122.17,29,101.38,0.44
December,68,36,1965,1.367,69.56,104.53,29,87.81,0.47
January,68,37,336,1.367,67.89,101.77,32,80.85,0.52
February,68,37,336,1.367,81.92,107.51,32,79.85,0.52
March,68,37,336,1.367,135.32,160.05,32,121.73,0.46
April,68,37,336,1.367,180.1,190.56,32,159.02,0.4
May,68,37,336,1.367,209.85,202.97,32,179.38,0.39
June,68,37,336,1.367,232.47,215.11,32,213.02,0.33
July,68,37,336,1.367,247.97,233.74,32,242.04,0.31
August,68,37,336,1.367,226.46,232.95,32,233.67,0.3
September,68,37,336,1.367,190.45,224.78,32,223.93,0.28
October,68,37,336,1.367,144.09,197.99,32,184.71,0.33
November,68,37,336,1.367,90.71,138.32,32,121.41,0.43
December,68,37,336,1.367,71.56,114.86,32,97.64,0.47
January,68,38,784,1.367,31.2,39.06,28,22.53,0.74
February,68,38,784,1.367,31.81,36.8,28,19.95,0.7
March,68,38,784,1.367,80.46,90.26,28,50.72,0.64
April,68,38,784,1.367,102.62,103.29,28,50.08,0.68
May,68,38,784,1.367,161.87,158.16,28,108.27,0.54
June,68,38,784,1.367,193.9,182.74,28,156.98,0.45
July,68,38,784,1.367,226.24,217.64,28,213.54,0.35
August,68,38,784,1.367,191.96,197.04,28,176.05,0.41
September,68,38,784,1.367,178.17,209.08,28,212.33,0.29
October,68,38,784,1.367,120.69,159.25,28,141.7,0.39
November,68,38,784,1.367,55.78,73.15,28,53.9,0.59
December,68,38,784,1.367,55.31,84.35,28,72.94,0.5
January,70,33,1022,1.367,76.4,111.85,31,94.49,0.43
February,70,33,1022,1.367,74.9,90.45,31,59.86,0.54
March,70,33,1022,1.367,131.75,149.85,31,115.85,0.44
April,70,33,1022,1.367,170.17,176.8,31,150.92,0.37
May,70,33,1022,1.367,182.12,171.9,31,148.71,0.4
June,70,33,1022,1.367,217.81,197.89,31,188.73,0.34
July,70,33,1022,1.367,227.79,212.12,31,189.58,0.37
August,70,33,1022,1.367,201.32,201.79,31,173.73,0.37
September,70,33,1022,1.367,175.06,197.66,31,174.26,0.33
October,70,33,1022,1.367,156.48,205.36,31,193.27,0.28
November,70,33,1022,1.367,110.06,163.88,31,153.44,0.32
December,70,33,1022,1.367,103.84,169.53,31,166.97,0.29
January,70,34,3222,1.367,79.91,116.14,31,97.29,0.45
February,70,34,3222,1.367,80.4,100,31,72.28,0.5
March,70,34,3222,1.367,126.05,143.96,31,108.6,0.45
April,70,34,3222,1.367,181.59,191.11,31,163.36,0.35
May,70,34,3222,1.367,190.16,183.04,31,156.47,0.36
June,70,34,3222,1.367,232.48,213.9,31,211.34,0.29
July,70,34,3222,1.367,246.23,230.92,31,229.44,0.29
August,70,34,3222,1.367,220.47,224.81,31,205.53,0.3
September,70,34,3222,1.367,181.17,206.38,31,185.7,0.31
October,70,34,3222,1.367,154.04,204.01,31,193.3,0.27
November,70,34,3222,1.367,103.72,153.09,31,140.04,0.34
December,70,34,3222,1.367,96.44,157.53,31,154.64,0.3
January,70,35,2043,1.367,71.73,100.67,30,76.72,0.48
February,70,35,2043,1.367,69.57,84.43,30,54.89,0.56
March,70,35,2043,1.367,117.32,134.35,30,99.25,0.45
April,70,35,2043,1.367,167.73,176.93,30,143.88,0.38
May,70,35,2043,1.367,184.96,178.43,30,153.61,0.39
June,70,35,2043,1.367,232.03,213.65,30,220.13,0.31
July,70,35,2043,1.367,243.11,229.91,30,230.6,0.3
August,70,35,2043,1.367,213.14,217.7,30,198.72,0.33
September,70,35,2043,1.367,175.75,201.87,30,178.84,0.32
October,70,35,2043,1.367,150.13,198.69,30,184.63,0.27
November,70,35,2043,1.367,92.42,133.75,30,116.73,0.36
December,70,35,2043,1.367,88.1,138.73,30,127.64,0.33
January,70,36,3409,1.367,39.26,48.47,28,26.88,0.67
February,70,36,3409,1.367,44.65,48.55,28,18.92,0.76
March,70,36,3409,1.367,97.22,106.46,28,55.22,0.63
April,70,36,3409,1.367,120.92,125.96,28,82.34,0.5
May,70,36,3409,1.367,140.81,136.91,28,79.91,0.59
June,70,36,3409,1.367,175.64,166.03,28,126.34,0.47
July,70,36,3409,1.367,215.62,207.43,28,173.58,0.41
August,70,36,3409,1.367,201.6,208.32,28,184.46,0.35
September,70,36,3409,1.367,182.72,211.64,28,201.48,0.27
October,70,36,3409,1.367,128.08,165.81,28,145.6,0.33
November,70,36,3409,1.367,71.47,95.05,28,70.16,0.49
December,70,36,3409,1.367,63.04,90.86,28,72.71,0.47
January,70,37,1179,1.367,51.1,71.45,31,51.11,0.58
February,70,37,1179,1.367,60.56,71.73,31,40.07,0.64
March,70,37,1179,1.367,115.49,133.38,31,89.43,0.51
April,70,37,1179,1.367,139.6,146.85,31,107.74,0.45
May,70,37,1179,1.367,169.32,163.6,31,118.89,0.51
June,70,37,1179,1.367,201.05,188.71,31,163.18,0.39
July,70,37,1179,1.367,238.85,228.47,31,225.27,0.3
August,70,37,1179,1.367,213.27,221.56,31,210.1,0.29
September,70,37,1179,1.367,183.46,216.21,31,206.71,0.26
October,70,37,1179,1.367,134.89,183.45,31,169.85,0.29
November,70,37,1179,1.367,81.06,120.76,31,105.61,0.4
December,70,37,1179,1.367,69.3,113.87,31,105.98,0.39
January,70,38,1473,1.367,42.27,57.1,30,39.74,0.66
February,70,38,1473,1.367,48.68,60.42,30,40.45,0.58
March,70,38,1473,1.367,89.4,98.22,30,63.34,0.58
April,70,38,1473,1.367,154.6,163.4,30,139.6,0.41
May,70,38,1473,1.367,176.33,172.51,30,135.69,0.45
June,70,38,1473,1.367,218.27,205.56,30,200.55,0.33
July,70,38,1473,1.367,243.49,234.06,30,246.05,0.27
August,70,38,1473,1.367,207.69,215.29,30,210.98,0.31
September,70,38,1473,1.367,183.43,217.64,30,224.32,0.25
October,70,38,1473,1.367,128.34,175.22,30,166.33,0.33
November,70,38,1473,1.367,73.27,107.54,30,93.92,0.45
December,70,38,1473,1.367,63.07,104.1,30,99.35,0.41
January,72,33,307,1.367,85.18,124.68,32,104.51,0.44
February,72,33,307,1.367,74.31,90.93,32,60.83,0.56
March,72,33,307,1.367,119.52,134.5,32,95.17,0.5
April,72,33,307,1.367,174.33,181.11,32,151.8,0.39
May,72,33,307,1.367,167.67,158.65,32,125.68,0.44
June,72,33,307,1.367,210.61,192.21,32,169.79,0.39
July,72,33,307,1.367,207.49,193.42,32,148.98,0.46
August,72,33,307,1.367,184.32,183.81,32,145.69,0.43
September,72,33,307,1.367,169.41,190.23,32,162.18,0.36
October,72,33,307,1.367,143.16,185.62,32,164.34,0.35
November,72,33,307,1.367,103.2,150.05,32,128.94,0.37
December,72,33,307,1.367,101.57,164.69,32,156.15,0.32
January,72,34,299,1.367,82.76,127.03,32,114.59,0.42
February,72,34,299,1.367,74.3,93.93,32,69.93,0.5
March,72,34,299,1.367,130,150.55,32,121.48,0.43
April,72,34,299,1.367,182.4,190.84,32,168.49,0.36
May,72,34,299,1.367,200.81,189.93,32,172.62,0.38
June,72,34,299,1.367,231.36,209.69,32,211.08,0.33
July,72,34,299,1.367,230.8,214.51,32,198.34,0.36
August,72,34,299,1.367,211.35,212.18,32,190.17,0.37
September,72,34,299,1.367,178.62,203.34,32,186.35,0.33
October,72,34,299,1.367,154.1,205.78,32,196.98,0.3
November,72,34,299,1.367,109.23,168.03,32,159.66,0.32
December,72,34,299,1.367,99.53,168.34,32,167.34,0.31
January,72,35,1479,1.367,77.8,114.94,31,96.99,0.45
February,72,35,1479,1.367,61.39,71.94,31,39.61,0.65
March,72,35,1479,1.367,117.05,132.74,31,91.99,0.5
April,72,35,1479,1.367,168.54,177.4,31,143.03,0.38
May,72,35,1479,1.367,187.99,180.5,31,154.99,0.39
June,72,35,1479,1.367,234.91,216.66,31,215.09,0.31
July,72,35,1479,1.367,220.69,208.79,31,176.64,0.39
August,72,35,1479,1.367,207.6,211.74,31,181.57,0.36
September,72,35,1479,1.367,170.68,196.53,31,170.76,0.33
October,72,35,1479,1.367,140.42,186.02,31,169.05,0.3
November,72,35,1479,1.367,93.52,138.04,31,121.85,0.36
December,72,35,1479,1.367,93.82,155.71,31,151.64,0.32
January,72,36,2442,1.367,33.71,33.66,21,4.66,0.95
February,72,36,2442,1.367,54.77,60.34,21,28.38,0.72
March,72,36,2442,1.367,91.41,96.79,21,39.15,0.7
April,72,36,2442,1.367,102.36,104.79,21,51.74,0.63
May,72,36,2442,1.367,139.59,139.98,21,75.8,0.56
June,72,36,2442,1.367,173.06,169.5,21,114.29,0.48
July,72,36,2442,1.367,212.33,211.22,21,175.5,0.36
August,72,36,2442,1.367,182.56,190.53,21,164.47,0.33
September,72,36,2442,1.367,155.97,176.42,21,159.32,0.3
October,72,36,2442,1.367,102.47,123.09,21,102.35,0.43
November,72,36,2442,1.367,56.34,63.77,21,33.08,0.72
December,72,36,2442,1.367,30.92,31.12,21,5.57,0.95
January,72,37,5163,1.367,24.89,28.39,25,12.73,0.79
February,72,37,5163,1.367,33.54,38.37,25,21.5,0.69
March,72,37,5163,1.367,58.43,63.28,25,29.15,0.7
April,72,37,5163,1.367,76.37,76.67,25,41.37,0.66
May,72,37,5163,1.367,139.12,138.88,25,76.22,0.57
June,72,37,5163,1.367,183.29,176.47,25,127.76,0.49
July,72,37,5163,1.367,230.9,226.38,25,208.94,0.34
August,72,37,5163,1.367,207.35,216.99,25,206.29,0.31
September,72,37,5163,1.367,188.83,219.46,25,216.17,0.25
October,72,37,5163,1.367,108.41,133.15,25,104.28,0.45
November,72,37,5163,1.367,48.85,59.35,25,38.69,0.61
December,72,37,5163,1.367,45.24,59.27,25,40.76,0.61
January,72,38,3901,1.367,30.53,39.93,23,32,0.57
February,72,38,3901,1.367,31.88,37.38,23,23.25,0.64
March,72,38,3901,1.367,62.57,65.9,23,27.39,0.71
April,72,38,3901,1.367,106.21,108.86,23,54.53,0.64
May,72,38,3901,1.367,155.03,155.62,23,90.63,0.54
June,72,38,3901,1.367,202.27,199.03,23,153.43,0.4
July,72,38,3901,1.367,224.48,224.72,23,196.9,0.32
August,72,38,3901,1.367,186.3,195.68,23,165.58,0.35
September,72,38,3901,1.367,168.26,195.26,23,186.74,0.28
October,72,38,3901,1.367,85.67,98.23,23,56.44,0.63
November,72,38,3901,1.367,39.3,46.58,23,27.18,0.68
December,72,38,3901,1.367,25.51,31.7,23,20.06,0.7
January,74,33,344,1.367,80.72,116.77,32,94.94,0.46
February,74,33,344,1.367,68.42,84.24,32,58.3,0.54
March,74,33,344,1.367,115.57,130.32,32,96.12,0.49
April,74,33,344,1.367,168.48,173.98,32,140.86,0.42
May,74,33,344,1.367,200.71,189.3,32,166.49,0.39
June,74,33,344,1.367,217.72,197.64,32,183.04,0.38
July,74,33,344,1.367,171.75,159.77,32,108.61,0.54
August,74,33,344,1.367,194.26,193.94,32,159.98,0.42
September,74,33,344,1.367,163.88,183.19,32,154.37,0.4
October,74,33,344,1.367,150.72,198.8,32,192.48,0.29
November,74,33,344,1.367,108.75,162,32,150.59,0.34
December,74,33,344,1.367,98.68,158.54,32,149.03,0.34
January,74,34,2326,1.367,74.56,104.8,30,81.08,0.45
February,74,34,2326,1.367,61.08,73.43,30,45.54,0.55
March,74,34,2326,1.367,109.38,122.6,30,78.53,0.49
April,74,34,2326,1.367,143.89,150,30,98.1,0.47
May,74,34,2326,1.367,185.9,181.86,30,130.36,0.41
June,74,34,2326,1.367,216.05,204.56,30,170.51,0.33
July,74,34,2326,1.367,190.35,182.46,30,131.58,0.43
August,74,34,2326,1.367,195.22,200.68,30,158.38,0.35
September,74,34,2326,1.367,166.08,189.13,30,155.03,0.32
October,74,34,2326,1.367,134.6,172.37,30,144.55,0.31
November,74,34,2326,1.367,93.57,131.3,30,106.36,0.39
December,74,34,2326,1.367,82.28,122.14,30,100.29,0.4
January,74,35,3824,1.367,45.67,57.82,28,36.75,0.64
February,74,35,3824,1.367,41.89,48.64,28,26.94,0.65
March,74,35,3824,1.367,80.71,85.4,28,38.13,0.69
April,74,35,3824,1.367,112.62,114.44,28,64.1,0.61
May,74,35,3824,1.367,131.59,128.63,28,72.88,0.58
June,74,35,3824,1.367,185.63,176.43,28,138,0.42
July,74,35,3824,1.367,175.47,167.39,28,118.23,0.52
August,74,35,3824,1.367,187.6,191.9,28,158.18,0.4
September,74,35,3824,1.367,153.21,172.58,28,144.35,0.37
October,74,35,3824,1.367,122.32,154.61,28,133.08,0.37
November,74,35,3824,1.367,72.13,95.43,28,69.98,0.52
December,74,35,3824,1.367,73.38,106.09,28,86.57,0.49
January,74,36,4013,1.367,52.49,69.4,25,53.13,0.53
February,74,36,4013,1.367,53.64,60.83,25,31.54,0.65
March,74,36,4013,1.367,72.96,81.11,25,42.27,0.6
April,74,36,4013,1.367,84.87,85.51,25,38.78,0.67
May,74,36,4013,1.367,124.16,123,25,57.75,0.64
June,74,36,4013,1.367,184.9,177.56,25,115.45,0.52
July,74,36,4013,1.367,220.21,215.43,25,170.6,0.41
August,74,36,4013,1.367,193.13,200.36,25,156.3,0.4
September,74,36,4013,1.367,165.07,186.97,25,154.92,0.36
October,74,36,4013,1.367,95.35,110.73,25,65.28,0.58
November,74,36,4013,1.367,60.92,71.17,25,35.07,0.7
December,74,36,4013,1.367,61.39,82.11,25,60.68,0.57
January,74,37,5174,1.367,20.63,19.98,17,0,1
February,74,37,5174,1.367,33.92,37.09,17,19.14,0.67
March,74,37,5174,1.367,50.3,54.16,17,32.11,0.61
April,74,37,5174,1.367,86.49,88.43,17,56.46,0.58
May,74,37,5174,1.367,135.18,136.11,17,89.43,0.53
June,74,37,5174,1.367,172.55,170.17,17,103.04,0.56
July,74,37,5174,1.367,223.09,223.74,17,171.76,0.43
August,74,37,5174,1.367,191.96,200.15,17,140.23,0.45
September,74,37,5174,1.367,159.74,174.91,17,138.4,0.43
October,74,37,5174,1.367,70.81,77.25,17,41.38,0.64
November,74,37,5174,1.367,39.94,38.84,17,0.64,0.99
December,74,37,5174,1.367,34.07,32.99,17,0,1
January,74,38,4025,1.367,38.89,49.75,32,30.86,0.67
February,74,38,4025,1.367,84.8,110.41,32,85.19,0.5
March,74,38,4025,1.367,153.13,187.43,32,163.11,0.36
April,74,38,4025,1.367,161.18,168.77,32,138.65,0.43
May,74,38,4025,1.367,192.96,187.62,32,156.31,0.42
June,74,38,4025,1.367,219.45,202.31,32,199.01,0.36
July,74,38,4025,1.367,231.03,218.39,32,209,0.36
August,74,38,4025,1.367,227.73,234.57,32,244.49,0.29
