Longitudes,Latitudes,Elevation,ExtSR,YearAvgI_HP,YearAvgI_IncP,OptSlopeAngle,YearAvgI_B,Ratio_D_G
73.276,28.914,156,1.367,167.14,184.75,29,151.26,0.4067
74.639,30.252,198,1.367,159.07,175.05,29,140.22,0.4292
74.287,29.26,209,1.367,164.72,182.73,30,148.43,0.41
75.034,28.722,224,1.367,164.06,181.35,29,146.25,0.4133
76.309,30.29,249,1.367,157.57,174.99,30,144.82,0.4117
77.012,28.76,213,1.367,161.27,178.61,30,143.18,0.4233
78.286,27.286,166,1.367,162.36,179.89,30,146.05,0.4183
79.736,29.029,226,1.367,161.89,181.76,31,155.99,0.3867
80.439,28.722,200,1.367,158.04,181.7,33,160.76,0.38
81.142,27.754,126,1.367,159.37,178.2,31,153.84,0.385
82.812,29.871,5096,1.367,138.06,155.37,31,122.54,0.4892
84.436,32.614,4848,1.367,150.34,176.97,35,161.46,0.3708
87.778,30.706,5092,1.367,159.51,184.5,33,172.33,0.3508
85.845,27.676,1881,1.367,165.84,185.94,30,160.32,0.3708
84.043,26.108,61,1.367,155.89,169.55,28,133.04,0.4458
91.601,29.26,3549,1.367,149.31,174.25,35,155.55,0.4042
91.25,27.831,4221,1.367,162.29,183.95,31,169.29,0.3033
92.568,26.108,96,1.367,146.44,162.57,29,125.07,0.4392
89.36,24.879,19,1.367,154.37,169.6,28,128.45,0.455
93.14,33.498,4684,1.367,152.02,173.13,24,157.35,0.3617
97.71,32.019,4016,1.367,132.07,147.67,30,113.26,46.58
92.085,31.721,4614,1.367,162.59,188.45,33,176.82,0.3325
89.8,24.439,7,1.367,153.75,167.56,28,125.88,0.4592
81.362,28.664,133,1.367,152.84,173.87,33,145.85,0.4258
84.526,25.871,55,1.367,155.77,168.9,28,132.21,0.45
78.55,26.973,150,1.367,163.02,180.77,30,146.23,0.4167
89.8,23.637,8,1.367,154.88,167.85,27,126.15,0.4567
78.374,24.759,373,1.367,166.88,187.74,30,159.02,0.3883
78.022,23.637,430,1.367,165.41,181.89,29,157.9,0.3925
85.933,22.342,256,1.367,161.84,176.51,28,145.57,0.4117
71.167,23.314,1,1.367,168.35,181.28,27,140.77,0.4633
87.339,22.017,19,1.367,159.67,173.39,27,141.61,0.4158
95.952,28.064,359,1.367,101.54,112.7,28,79.458,0.5658
94.194,28.374,2095,1.367,128.93,143.84,30,95.043,0.5008
92.964,27.598,1352,1.367,136.8,153.44,30,118.65,0.45
94.194,26.502,340,1.367,131.9,147.07,30,107.63,0.4992
93.14,25.396,268,1.367,144.57,158.24,28,115.58,0.4542
92.788,23.314,750,1.367,149.52,161.09,26,120.2,0.4375
88.218,22.342,4,1.367,144.6,157.94,28,124.28,0.4273
77.494,34.662,4489,1.367,160.5,188.73,35,180.48,0.3233
75.034,33.79,1602,1.367,129.81,145.99,30,177.46,0.4683
75.561,32.614,836,1.367,151.72,170.96,30,155.7,0.355
81.89,29.909,2602,1.367,116.2,127.05,29,79.036,0.5108
82.768,28.219,1894,1.367,164.55,191.07,34,182.68,0.3383
86.636,27.754,4261,1.367,176.4,196.42,29,190.52,0.2442
63.257,32.165,782,1.367,182.16,203.77,30,206.72,0.3025
67.475,32.317,2281,1.367,179.95,204.1,30,207.48,0.2883
70.64,37.642,2710,1.367,132.6,144.03,26,123.42,0.4742
62.905,25.713,88,1.367,194.76,213.34,26,207.3,0.3033
68.179,24.759,11,1.367,180.28,198.1,28,175.16,0.3642
74.507,32.614,242,1.367,152.88,173.04,31,154.8,0.3767
