Longitudes,Latitudes,Elevation,ExtSR,YearAvgI_HP,YearAvgI_IncP,OptSlopeAngle,YearAvgI_B,Ratio_D_G
70.143,28.206,74,1.367,177.885,196.2458,28,166.4083,0.3825
71.267,28.237,99,1.367,173.6975,190.9992,28,161.3817,0.38416
72.181,28.376,127,1.367,172.135,189.4675,28,158.8367,0.39167
73.315,28.015,228,1.367,167.8658,185.3183,29,153.4085,0.3975
74.272,28.105,287,1.367,166.6367,184.255,29,153.7038,0.399
75.021,28.285,289,1.367,163.0638,180.9967,30,146.3692,0.4108
76.058,28.06,325,1.367,162.848,180.155,30,145.8085,0.4075
77.13,28.285,242,1.367,161.3842,178.3052,29,143.6608,0.4175
78.014,28.225,198,1.367,160.1008,176.9542,30,143.09,0.41833
79.12,28.045,170,1.367,159.76,176.5508,29,144.5042,0.4158
80.004,28,158,1.367,159.5158,176.4083,30,153.1967,0.3875
81.331,28.12,143,1.367,156.195,177.5725,33,152.3625,0.405
82.267,28.105,616,1.367,163.995,187.443,32,169.993,0.3542
83.151,28.045,1304,1.367,155.143,176.8817,33,153.0283,0.3716
84.053,28,907,1.367,171.4875,198.5833,33,190.2825,0.33166
85.065,28.135,1927,1.367,147.0783,165.555,30,135.1492,0.39166
86.553,28.045,6424,1.367,175.5658,201.1242,32,194.405,0.305
87.087,28.195,5192,1.367,151.3958,171.0383,31,144.3967,0.36
88.135,28.21,4404,1.367,169.4692,196.8608,33,198.5625,0.309
89.053,28.15,4858,1.367,165.65,192.389,34,187.0417,0.3258
90.091,28.15,6221,1.367,147.9633,168.4408,32,144.575,0.3875
91.06,28.06,3430,1.367,154.6558,170.325,29,150.9358,0.33166
92.081,28,5189,1.367,166.5117,185.9858,20,181.9983,0.3192
93.101,28.165,2942,1.367,139.995,159.18,32,130.5817,0.4316
94.156,28.06,421,1.367,135.9292,153.4908,31,114.2383,0.4642
95.245,23.015,243,1.367,110.4775,123.765,30,87.23,0.54
96.163,28.135,1090,1.367,92.695,99.475,25,52.5275,0.62667
97.082,28.15,2775,1.367,102.2258,112.03,27,72.4058,0.5642
68,30,826,1.367,177.2733,198.277,29,178.434,0.3267
69.043,30.095,950,1.367,177.45,200.072,30,199.1833,0.30167
70.115,30.162,1906,1.367,149.8167,167.4025,30,128.6675,0.4375
71.077,30.149,123,1.367,160.0708,178.0825,30,143.2083,0.415
72.071,30.229,136,1.367,159.12,175.9208,29,137.67,0.4342
73.112,30.216,158,1.367,158.9108,174.845,29,138.4558,0.43
74.074,30.041,182,1.367,159.2083,174.9642,29,139.7375,0.4283
